p1_encoder, p1_pressed, p1_pressed_nmz, ,p2_encoder, p2_pressed, p2_pressed_nmz, ,p1_degree, p1_pressed, p1_pressed_nmz, ,p2_degree, p2_pressed, p2_pressed_nmz
4186388,21300,0.99929627, ,4202250,21165,0.993195683, ,88.655876,21300,0.99929627, ,91.640204,21165,0.993195683
4186382,21300,0.99929627, ,4202252,21165,0.993195683, ,88.654746,21300,0.99929627, ,91.640957,21165,0.993195683
4186377,21300,0.99929627, ,4202253,21165,0.993195683, ,88.653617,21300,0.99929627, ,91.641334,21165,0.993195683
4186372,21300,0.99929627, ,4202256,21165,0.993195683, ,88.652676,21300,0.99929627, ,91.641522,21165,0.993195683
4186368,21300,0.99929627, ,4202258,21165,0.993195683, ,88.651923,21300,0.99929627, ,91.641898,21165,0.993195683
4186364,21300,0.99929627, ,4202259,21165,0.993195683, ,88.65117,21300,0.99929627, ,91.642275,21165,0.993195683
4186362,21300,0.99929627, ,4202261,21165,0.993195683, ,88.650605,21300,0.99929627, ,91.642651,21165,0.993195683
4186359,21300,0.99929627, ,4202262,21165,0.993195683, ,88.649853,21300,0.99929627, ,91.642839,21165,0.993195683
4186356,21300,0.99929627, ,4202263,21165,0.993195683, ,88.649476,21300,0.99929627, ,91.643216,21165,0.993195683
4186354,21300,0.99929627, ,4202265,21165,0.993195683, ,88.648911,21300,0.99929627, ,91.643404,21165,0.993195683
4186352,21300,0.99929627, ,4202265,21165,0.993195683, ,88.648535,21300,0.99929627, ,91.643592,21165,0.993195683
4186351,21300,0.99929627, ,4202266,21165,0.993195683, ,88.648347,21300,0.99929627, ,91.643781,21165,0.993195683
4186350,21300,0.99929627, ,4202266,21165,0.993195683, ,88.64797,21300,0.99929627, ,91.643781,21165,0.993195683
4186349,21300,0.99929627, ,4202267,21160,0.992961051, ,88.647782,21300,0.99929627, ,91.643969,21160,0.992961051
4186349,21300,0.99929627, ,4202265,21160,0.992961051, ,88.647782,21300,0.99929627, ,91.643781,21160,0.992961051
4186349,21300,0.99929627, ,4202264,21160,0.992961051, ,88.647782,21300,0.99929627, ,91.643404,21160,0.992961051
4186349,21300,0.99929627, ,4202263,21160,0.992961051, ,88.647782,21300,0.99929627, ,91.643216,21160,0.992961051
4186349,21300,0.99929627, ,4202262,21160,0.992961051, ,88.647782,21300,0.99929627, ,91.643028,21160,0.992961051
4186349,21300,0.99929627, ,4202261,21160,0.992961051, ,88.647782,21300,0.99929627, ,91.643028,21160,0.992961051
4186349,21300,0.99929627, ,4202260,21160,0.992961051, ,88.647782,21300,0.99929627, ,91.642839,21160,0.992961051
4186349,21300,0.99929627, ,4202259,21160,0.992961051, ,88.647782,21300,0.99929627, ,91.642651,21160,0.992961051
4186350,21300,0.99929627, ,4202258,21160,0.992961051, ,88.647782,21300,0.99929627, ,91.642463,21160,0.992961051
4186350,21300,0.99929627, ,4202257,21160,0.992961051, ,88.64797,21300,0.99929627, ,91.642275,21160,0.992961051
4186351,21300,0.99929627, ,4202255,21160,0.992961051, ,88.64797,21300,0.99929627, ,91.641898,21160,0.992961051
4186352,21300,0.99929627, ,4202254,21160,0.992961051, ,88.648158,21300,0.99929627, ,91.64171,21160,0.992961051
